description,Accountant,Advocate,Agricultural,Apparel,Architects,Arts,Automobile,Aviation,BPO,Banking,Building & Construction,Business Development,Consultant,Designing,Digital Media,Education,Engineering,Finance,Food & Beverages,HR,Health & Fitness,Information Technology,Managment,Public Relations,Sales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Administration:Coordinating & Handling operation works, keeping records (soft copy) of existing staff, Attendance & leave records,Handling the complete administrative activities, Hotels & maintaining the hospitality, Arranging the trips, tou...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Experienced Head of Rewards and HR Operations with a demonstrated history of working in the BFSI, Chemicals andMedia  industry. Skilled in Compensation & Benefits Strategy, Labor Relations, Management, Employee Wellness andBenefits Design. Strong human resources professional with a PGDBM focused in Human Resources from Weli...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Over 11 years of progressive experience in HR domain, across diverse portfolio. I have handled a gamut of HR activitiesranging from Talent Acquisition, operations, training, Statutory compliance, Audits, HR systems, Environment, Health &Safety, Employee relations and Talent Management. As an HR Business Partner, I was associated with large bu...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I am an HR professional with 12+ years of experience in HR Business Partner and Talent Acquisition. I have workedacross multiple domains like Finance and Accounting, Consulting, Aviation and BFSI. My current stint is with Lendingkartwhere I am the Director Talent Acquisition and HR Business Partner based out of Bangalore.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HR & Recruitment Professional : 17 years of work experience.... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Proficient in HRMS Implementation & Administration, HR Business Partner, PMS, Compensation & Benefits, StakeholdersManagement, Organizational Development, Manpower Planning and Budgeting, HR Analytics, Talent Management, TimeManagement, Salary Benchmarking, Strategic HR, Employee On-Boarding & Orientation, Employee Engagem...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"•	A dynamic Executive with over 12 years of comprehensive experience in all the domain of Human ResourceManagement and Personnel Management.•	 A Core HR professional with hands of experience in Planning and strategy related to all field of Modern Hu...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Analytics and Modeling Expert| HR Business Partner | Data Governance | Agile Worker |Data ScienceCertified in Human Resource Analytics from Jigsaw Academy, Certified Data Scientist from Analytixlab. Data Science andBusiness Analytics Using SAS (Statistical Analysis Software) and R tool from AnalytixLab Certified XLRI’s Execut...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"An experienced Human Resource Capital management executive with over 23 years of experience in  Manufacturing andBPO sector, covering Business Management, Employee Engagement, Employee Relations, Talent acquisition, Talentdevelopment, Compensation Benefits, Transformation, etc....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Payroll , attendance- kronos management,  recruitment, maintaining HRIS and training.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I am a firm believer of human potential collectively, If channelized in the right direction, achieving any vision is not achallenge but merely a routine. I believe that my primary role is to create & nurture collaborative culture and conditionsfor people performance at workplace....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I am a firm believer of human potential collectively, If channelized in the right direction, achieving any vision is not achallenge but merely a routine. I believe that my primary role is to create & nurture collaborative culture and conditionsfor people performance at workplace....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Experienced Head Of Talent Management with a demonstrated history of working in Retail Industry. Skilled in acquiringright talent  and Managing the talent. Strong in HR Operations and all gamuts of HR. Expert in designing  HR Policiesand developing organization. Strong business development professional with a PGDBM focused in Human Re...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Human Resources Leader with over 18 years experience in the Indian and Global Markets across Analytics, Banking andTechnology. Currently, heading HR at Citi’s Technology centre at Pune, India. Previously, headed HR for CRISIL’s GlobalResearch and Analytics business across 8 countries across 5 continents. Also, worked at HCL Technologies in ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pro-active, result-oriented HR professional experienced in Talent Acquisition & HRBP-sales with a demonstrated historyof working in the Automobile & Engineering industry. skilled in Recruiting, training, employee engagement,strategichiring advisor to functional heads,HR projects & HR operations... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I have undertaken global business projects spanning across 3 continents, set up regional offices across India and hired2000+ employees....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"An HR professional with 4 years of experience, having a keen interest in designing processes and analytics. I bring onboard experience in HR as well as working on business strategy projects. My value system includes integrity and honestywhich drives my performance and relations with others....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Experienced Human Resources with a demonstrated history of working in the human resources industry. Skilled inOperations Management, Personnel Management, Strategic Planning, Employee Engagement, and OrganizationalDevelopment. Strong human resources professional with a B.Sc., M.A. LLB focused in Human Resource Mana...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12 years experience in IR & HR with skills and ability in institutionalising industrial relations and organisation culture asper business requirements... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Working as HR with a demonstrated history of working in the Education Management Industry. Skilled in HumanResources, Management, Teamwork, Recruiting, and Team Management. Strong Human Resources professional with aMaster of Business Administration - MBA focused in HR....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Experienced Senior Process Executive with a demonstrated history of working in the banking and services industry.Strong operations professional skilled in HR Admin, Recruitment, Onboarding, Workforce Management, CRD, VendorContracts, Invoice Processing, Recruitment, Policy Analysis and HR Process....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Human Resource professional with experience across Strategy and Business Partnering for large scale MNC's. Known forideating, implementing transformational & contemporary HR practices of strategic importance to businesses globally.Drive strategic projects and partner on cultural transformational projects....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Experienced Talent Development And Human Resources Executive with a demonstrated history of working in the variedindustries. Skilled in HR Policies, Employee Relations, Onboarding, Human Resources, and Human Resources InformationSystems (HRIS). Strong human resources professional with a Post Graduation Diploma focused in Human Res...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Reporting directly to the Chief Corporate Development Officer, I am responsible for the development andimplementation of Corporate strategies for all things Human Resources at AutoCapital Canada. Working closely with theExecutive and Management team, I oversee all HR activities in the areas of Talent Acquisition and Selection, T...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HR Professional with more than 7 years of experience in multiple HR functions such as Talent Acquisition, HR Analytics,and HR Business Partner....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Digital Online Marketing to grow, promote and develop your business! Wheezine is the best Digital Marketing Companyoffering great solutions which are specialized and digital-focused. We provide Digital marketing as well as designingservices like SEO, SEM, PPC, Website development, website design, Branding and Corporate Identity are the l...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Experienced Fashion Designer with a demonstrated history of working in the apparel and fashion industry. Skilled inTrend Analysis, Textile Industry, Trend Forecasting, Fit, and Retail. Strong arts and design professional with a st marysfocused in business from dbhs.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"We are strong team of experienced and dedicated web designers,web developers and animation experts,networkingengineers ,server admin and security experts.We value our clients and understand their message and publish it to theirtargeted audience in an efficient manner.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rishikesh is an Co-Founder and Principal Architect of multidisciplinary design practice, Design Nonstop at Nashik.Believing to make a change, Rishikesh’s work persona is highly inspired with the concept of user centric design. Havingdone his architecture from Pune University and industrial design from Rochester Institute of Technology (RIT),...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"As an Interior Designer•Create aesthetically pleasing environments that represent the client's lifestyle and taste.•Plan, design, and furnish interior residential, commercial, and industrial environments....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Experienced Junior Architect with a demonstrated history of working in the architecture & planning industry. Skilled inAutoCAD, Photography, SketchUp, Adobe Indesign CC, and Revit. Strong arts and design professional graduated fromCOLLEGE OF ARCHITECTURE, SVIT, VASAD.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jr.Architect at Skyline associates... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dear Sir/ Ma’am,Sub: Introduction of the Company...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"• A design professional with more than 10 years’ experience as Graphic Designer• Innovative graphic designing, evolving new style and methodology to produce highest caliber designs• Utilizing most current technologies, and collaborative brainstorming strategies...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I believe in the beautiful thought that 'Creativity is God's gift to you and what you make out of it is your gift to God!'I also believe in the fact that 'somebody cannot do everything, but everybody can do something, so let’s make thethings better than waiting for somebody to do it for us..’  My dissertation  project was based on the similar li...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Experienced Head Of Advertising Design with a demonstrated history of working in the computer software andentertainment industries. Strong arts and design professional skilled in Design Strategy, Marketing Design and ArtDirection... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I am a creative and enthusiastic individual, pursuing a career in Management at IIM Indore. I interned at HindustanUnilever Ltd. 2019.In addition to being a full-time MBA Student, I am a freelance graphic designer, practicing for about 4 years.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Professional Qualification: MCA [Full Time from IIMT Greater Noida, UP technical University]Certification: CCNA, CCIP, CCNP-SP, JNCIA, ERICSSON-IP/MPLS Professional, ITIL V3...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hex technology, your IT Consultant, provides a complete, innovative business solution in terms of the IT proficiency thatyour business requires. We offer our ERP expertise for your business unit. By understanding your business model wedevelop a complete end to end solution- Matching your IT requirements with Physical lay out, IT infrastructur...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"We at Foliage Media Located in south India, specializes in corporate Internet branding, strategic marketing, branding,web design, graphic design, and more. If you are looking for a top-notch marketing and advertising agency in India,look no further. We look forward to helping you improve the brand value of your company....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Founded in 2008, we have completed more than 50 interior & architectural projects, design consulting to turnkeysolutions. We are renowned for steadfast commitment to design excellence, innovation, and sustainability... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Founded in 2008, we have completed more than 50 interior & architectural projects, design consulting to turnkeysolutions. We are renowned for steadfast commitment to design excellence, innovation, and sustainability... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Diego Rodriguez is Executive Vice President, Chief Product and Design Officer at Intuit. He guides the design anddelivery of Intuit’s ecosystem experiences and works with its product management and design communities to forgebest practices and deliver seamless, end-to-end customer journeys....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Finishing Pointe is one of the best advertising agencies in Hyderabad. Our services include web design, branding, logodesign, digital marketing and graphic design.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I am an engineer by qualification and an entrepreneur by profession. Two years back I started Shapefy, a full serviceplatform to bring all kinds of manufacturing Online, connecting hardware teams with manufacturers and to helpengineers get to market faster....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I'm civil Engg  in diploma and diploma in designing. I just going  my way with holding this field, I really interested in thisfield. because our ideas infinity , we can imagine millions of things .... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"An author, lecturer, teacher, application engineer, customer focused solution sales representative and evangelist onengineering technology and education, I have been working with Computer Aided Design software and its users fornearly 30 years. In that time I have built a reputation as someone who understands the application of these t...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Accredited Diamond Jewellery Professional dedicated to a career in fine jewellery manufacturing, purchase, businessdevelopment and services, having 12 years’ experience in local trade operations with leading showrooms, studios andsupply chain companies. Hands-on exposure of handling operations across various departments and industri...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sincere, Persistent,... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"I Gibu Gebriel Who is having nearly 10 years experience in different Industries,Currently working as a communicationand soft skill trainer in Sun International Institute of  Hotel Management,Visakhapatnam. I started my career in hotelIndustry then I moved to Customer service Industry,Travel and Tourism Industry , Training Stream,Managerial ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Like majority of students around the world, I am also attracted towards infinte potential in the domain of computerscience....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"I Gibu Gebriel Who is having nearly 10 years experience in different Industries,Currently working as a communicationand soft skill trainer in Sun International Institute of  Hotel Management,Visakhapatnam. I started my career in hotelIndustry then I moved to Customer service Industry,Travel and Tourism Industry , Training Stream,Managerial ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Creative Individual with clear / strong communication and relationship development skills, organisational skills andadaptability....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"I'm pursuing LLB and have done BBA and MBA in HR & Marketing from IMSAR (MDU Campus) and qualified UGC-NET.I'm working for last 5 years in teaching and HR. I am very much interested in academics and in HR field. My area ofinterest in HR is Talent management, time office management, compensation, recruitment and policy making...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"B Tech (Electronics & Telecommunication), PGDBM (Marketing), ITIL (Foundation & Service Operation Intermediate),Prince2, CCNA with 14 years of experience. Pursuing a career with a company, that empowers its employees with theright kind of growth path for the right candidate. The job should challenge my technical, leadership, commun...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"I'm pursuing LLB and have done BBA and MBA in HR & Marketing from IMSAR (MDU Campus) and qualified UGC-NET.I'm working for last 5 years in teaching and HR. I am very much interested in academics and in HR field. My area ofinterest in HR is Talent management, time office management, compensation, recruitment and policy making...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Like majority of students around the world, I am also attracted towards infinte potential in the domain of computerscience....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Seeking a position to utilize my skills and abilities in the Information Technology Industry that offers professional growthwhile being resourceful, innovative and flexible.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I'd done my MBA in finance and hr in AKTU University. I'd done my internship in bank.... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Experienced Assistant Professor with a demonstrated history of working in the education management industry. Skilledin Matlab, 8051 Microcontroller, C++, Verilog, and VHDL. Strong education professional with a Master of Technology -MTech focused in Digital Communication and Networking from Gogte Institute of Technology, BELGAUM.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Out of all the top private engineering colleges in Hyderabad, HITAM stands out for its outstanding method of teaching Italso provides world class education with highly qualified professors... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
..... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Management StudentSpecialization-Operations & Marketing... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Fun Loving , Dedicated and Focused... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The Indian market is developing and it was observed Project Management Company has grown up like mushrooms butare unable to either complete the projects or a major rework are involved giving financial implications on the projectsand ultimately they leave the projects in mid or the Client say bye bye as they were also lacking the  dedicate...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
